product_id,category,abc_category,total_sales,avg_sales,sales_volatility,total_transactions,total_forecast_demand
FB000001,Outerwear,A,589.87,29.4935,131.8989417887801,1.0,-374.57626321696546
FB000002,Tops,A,488.17,24.4085,109.15813045760726,1.0,56.59474769079151
FB000003,Accessories,A,536.65,26.8325,119.99858801252623,1.0,59.26655701150582
FB000004,Shoes,A,1195.03,59.7515,267.21683151515737,1.0,-812.573999427535
FB000005,Tops,A,878.0,43.9,196.32676842448154,1.0,57.322933674425904
FB000006,Accessories,C,111.95,5.5975,25.032781008110142,1.0,52.17419846847841
FB000007,Bottoms,A,422.2,21.11,94.40679001004112,1.0,47.43327448404039
FB000008,Dresses,A,440.23,22.0115,98.43842057347325,1.0,59.12379016874672
FB000009,Outerwear,A,1677.92,83.896,375.19431808064473,1.0,57.25340085199348
FB000010,Outerwear,C,77.17,3.8585000000000003,17.25573658236588,1.0,60.244342562182624
FB000011,Tops,A,1021.77,51.088499999999996,228.474717736996,1.0,54.732908897763444
FB000012,Shoes,A,676.61,33.8305,151.29459542561327,1.0,54.48518088006637
FB000013,Bottoms,A,1060.26,53.013,237.08134338239267,1.0,62.39134992320234
FB000014,Dresses,B,233.32,11.666,52.171938051025094,1.0,65.37438485457798
FB000015,Tops,A,811.37,40.5685,181.4278474904004,1.0,59.245509630626884
FB000016,Accessories,B,234.08,11.704,52.34187921731508,1.0,62.08480935886027
FB000017,Shoes,A,450.62,22.531,100.76169520209551,1.0,55.13973546357453
FB000018,Tops,B,295.83,14.7915,66.14959897837626,1.0,59.6130542523131
FB000019,Outerwear,A,579.58,28.979000000000003,129.59802783993283,1.0,55.21676841461757
FB000020,Outerwear,A,709.92,35.495999999999995,158.74293785866504,1.0,54.599471120814194
FB000021,Bottoms,A,721.0,36.05,161.22050117773483,1.0,55.336528197365254
FB000022,Accessories,C,187.49,9.374500000000001,41.92403851014356,1.0,60.27789227882781
FB000023,Accessories,A,763.14,38.157,170.64329163491897,1.0,64.87332411819774
FB000024,Dresses,A,469.88,23.494,105.06836212676014,1.0,61.884382445826276
FB000025,Tops,A,583.57,29.178500000000003,130.49021896295525,1.0,54.93044054984376
FB000026,Bottoms,A,2734.0,136.7,611.3409850484425,1.0,14172.650114925029
FB000027,Bottoms,A,578.3,28.915,129.31181113881283,1.0,52.11965609318225
FB000028,Bottoms,A,526.9,26.345,117.81842173446391,1.0,59.52463504781039
FB000029,Dresses,A,785.29,39.2645,175.596182205081,1.0,58.05239193340907
FB000030,Shoes,B,296.48,14.824000000000002,66.29494339691375,1.0,59.388364253930575
FB000031,Shoes,B,314.59,15.729499999999998,70.34446250416588,1.0,61.99865744129028
FB000032,Tops,A,817.42,40.870999999999995,182.7806686167878,1.0,51.3612069241862
FB000033,Shoes,B,300.23,15.011500000000002,67.13346888847619,1.0,63.51910944675505
FB000034,Tops,B,216.93,10.8465,48.507022635902935,1.0,65.12279233961219
FB000035,Accessories,A,522.27,26.1135,116.78312226088151,1.0,63.10992260333592
FB000036,Tops,A,595.02,29.750999999999998,133.0505167971925,1.0,57.133328866320056
FB000037,Bottoms,A,684.23,34.2115,152.99847922446813,1.0,51.72550773564476
FB000038,Dresses,B,354.5,17.725,79.26860980236755,1.0,60.75141869862978
FB000039,Shoes,B,278.35,13.9175,62.24095215370665,1.0,58.861627641846184
FB000040,Bottoms,C,189.52,9.476,42.37796030957602,1.0,61.21329546160931
FB000041,Tops,A,433.13,21.6565,96.85081230944839,1.0,56.52433582835292
FB000042,Tops,B,270.68,13.534,60.52588801496431,1.0,60.308511103168094
FB000043,Outerwear,A,685.42,34.271,153.26457131379058,1.0,67.00791435413221
FB000044,Shoes,A,1054.86,52.742999999999995,235.8738666745428,1.0,58.55008547471538
FB000045,Tops,C,102.9,5.1450000000000005,23.00913948847284,1.0,59.81185825941417
FB000046,Dresses,A,954.9,47.745,213.52213117145493,1.0,59.46488405024697
FB000047,Shoes,A,1210.04,60.501999999999995,270.57316954938455,1.0,55.03880068789112
FB000048,Accessories,A,438.02,21.901,97.94424955044579,1.0,47.281598643037796
FB000049,Bottoms,C,83.19,4.1594999999999995,18.60184950482075,1.0,58.13360995768355
FB000050,Accessories,A,645.27,32.2635,144.28675838412892,1.0,42.32051720191522
FB000051,Bottoms,B,363.86,18.193,81.36156942930735,1.0,61.61803062647212
FB000052,Outerwear,A,1390.96,69.548,311.0281113983107,1.0,56.08646789226111
FB000053,Shoes,A,498.44,24.922,111.45457227049951,1.0,52.40243786252787
FB000054,Outerwear,A,955.54,47.777,213.6652395220149,1.0,4991.704823823539
FB000055,Accessories,A,915.18,45.759,204.64046916482573,1.0,45.35381761176237
FB000056,Outerwear,B,268.87,13.4435,60.121159711036846,1.0,61.57192620196059
FB000057,Tops,A,1616.61,80.8305,361.4849853105935,1.0,-1123.558049000511
FB000058,Bottoms,C,157.62,7.881,35.24490346135169,1.0,55.90736887768096
FB000059,Tops,B,224.69,11.2345,50.24221138644277,1.0,66.76019840382395
FB000060,Shoes,C,140.73,7.036499999999999,31.468184647354537,1.0,58.17442554998827
FB000061,Shoes,A,496.46,24.823,111.01183081095455,1.0,55.27606291786563
FB000062,Outerwear,A,473.34,23.666999999999998,105.84204164697503,1.0,54.62298110080544
FB000063,Accessories,B,370.19,18.5095,82.77700045906471,1.0,64.31188466192935
FB000064,Shoes,B,307.97,15.398500000000002,68.86418550306104,1.0,55.95486394903427
FB000065,Tops,C,107.16,5.358,23.961704446887747,1.0,58.243439597636375
FB000066,Bottoms,A,1482.62,74.131,331.5239104800738,1.0,7713.766579925163
FB000067,Accessories,B,247.17,12.3585,55.2688921998623,1.0,63.670556339028046
FB000068,Tops,A,2077.51,103.87550000000002,464.54535839355884,1.0,57.2282691492592
FB000069,Dresses,B,338.64,16.932,75.72220599005287,1.0,58.708074703922534
