date,product_id,product_code,category_code,abc_code,avg_original_price,avg_current_price,avg_markdown,avg_stock,avg_rating,month,day_of_week,day_of_year,week_of_year,quarter,is_weekend,month_sin,month_cos,dow_sin,dow_cos,global_trend,lag_1_month,lag_2_month,lag_3_month,rolling_mean_3m,rolling_std_3m,season,category,abc_category,predicted_demand
2025-09-01,FB000001,0,0,0,196.01,196.01,0.0,37.0,3.0,9,0,244,36,3,0,-1.0,-1.8369701987210297e-16,0.0,1.0,609,0.0,589.87,0.0,196.62333333333333,278.06738467900584,Fall,Outerwear,A,-52.79092329412107
2025-09-01,FB001295,1294,1,1,119.04,117.02,1.7,34.0,4.1,9,0,244,36,3,0,-1.0,-1.8369701987210297e-16,0.0,1.0,609,0.0,0.0,0.0,0.0,0.0,Fall,Tops,C,19.569772013360886
2025-09-01,FB001294,1293,2,1,58.83,51.48,12.5,3.0,1.5,9,0,244,36,3,0,-1.0,-1.8369701987210297e-16,0.0,1.0,609,0.0,0.0,0.0,0.0,0.0,Fall,Accessories,C,19.323151588610568
2025-09-01,FB001293,1292,4,2,62.3,50.34,19.2,9.0,2.5,9,0,244,36,3,0,-1.0,-1.8369701987210297e-16,0.0,1.0,609,0.0,0.0,0.0,0.0,0.0,Fall,Bottoms,B,19.13142611716877
2025-09-01,FB001292,1291,3,1,80.96,35.38,56.3,41.0,2.2,9,0,244,36,3,0,-1.0,-1.8369701987210297e-16,0.0,1.0,609,0.0,0.0,0.0,0.0,0.0,Fall,Shoes,C,18.50067959468438
2025-09-01,FB001291,1290,0,0,179.44,144.27,19.6,42.0,3.0,9,0,244,36,3,0,-1.0,-1.8369701987210297e-16,0.0,1.0,609,0.0,0.0,0.0,0.0,0.0,Fall,Outerwear,A,19.79931239447762
2025-09-01,FB000196,195,5,0,162.23,114.53,29.4,41.0,4.0,9,0,244,36,3,0,-1.0,-1.8369701987210297e-16,0.0,1.0,609,0.0,0.0,0.0,0.0,0.0,Fall,Dresses,A,19.45448426414384
2025-09-01,FB001290,1289,0,0,229.8,229.8,0.0,46.0,3.6,9,0,244,36,3,0,-1.0,-1.8369701987210297e-16,0.0,1.0,609,0.0,0.0,0.0,0.0,0.0,Fall,Outerwear,A,19.113693207773334
2025-09-01,FB001289,1288,2,0,46.15,34.89,24.4,31.0,4.4,9,0,244,36,3,0,-1.0,-1.8369701987210297e-16,0.0,1.0,609,0.0,0.0,0.0,0.0,0.0,Fall,Accessories,A,18.490890540070094
2025-09-01,FB001288,1287,2,1,69.69,69.69,0.0,35.0,3.0,9,0,244,36,3,0,-1.0,-1.8369701987210297e-16,0.0,1.0,609,0.0,0.0,0.0,0.0,0.0,Fall,Accessories,C,20.04520084177467
2025-09-01,FB001287,1286,3,0,123.23,123.23,0.0,40.0,4.3,9,0,244,36,3,0,-1.0,-1.8369701987210297e-16,0.0,1.0,609,0.0,0.0,0.0,0.0,0.0,Fall,Shoes,A,19.390995075951903
2025-09-01,FB000195,194,3,0,142.58,142.58,0.0,25.0,4.8,9,0,244,36,3,0,-1.0,-1.8369701987210297e-16,0.0,1.0,609,0.0,0.0,0.0,0.0,0.0,Fall,Shoes,A,18.884101283236685
2025-09-01,FB000197,196,4,0,32.1,15.5,51.7,27.0,3.0,9,0,244,36,3,0,-1.0,-1.8369701987210297e-16,0.0,1.0,609,0.0,0.0,0.0,0.0,0.0,Fall,Bottoms,A,16.974986627279502
2025-09-01,FB001285,1284,4,0,113.83,55.09,51.6,12.0,2.9,9,0,244,36,3,0,-1.0,-1.8369701987210297e-16,0.0,1.0,609,0.0,0.0,0.0,0.0,0.0,Fall,Bottoms,A,18.492877387275893
2025-09-01,FB001284,1283,4,2,86.4,86.4,0.0,26.0,3.7,9,0,244,36,3,0,-1.0,-1.8369701987210297e-16,0.0,1.0,609,0.0,0.0,0.0,0.0,0.0,Fall,Bottoms,B,19.830878634869446
2025-09-01,FB001283,1282,1,0,46.44,29.35,36.8,19.0,1.9,9,0,244,36,3,0,-1.0,-1.8369701987210297e-16,0.0,1.0,609,0.0,0.0,0.0,0.0,0.0,Fall,Tops,A,18.174515050263377
2025-09-01,FB000198,197,3,2,162.41,93.06,42.7,22.0,4.8,9,0,244,36,3,0,-1.0,-1.8369701987210297e-16,0.0,1.0,609,0.0,0.0,0.0,0.0,0.0,Fall,Shoes,B,19.570405179769335
2025-09-01,FB001282,1281,4,2,96.88,53.48,44.8,15.0,1.3,9,0,244,36,3,0,-1.0,-1.8369701987210297e-16,0.0,1.0,609,0.0,0.0,0.0,0.0,0.0,Fall,Bottoms,B,19.0241167881511
2025-09-01,FB001281,1280,3,0,137.83,137.83,0.0,32.0,3.4,9,0,244,36,3,0,-1.0,-1.8369701987210297e-16,0.0,1.0,609,0.0,0.0,0.0,0.0,0.0,Fall,Shoes,A,19.341655377177286
2025-09-01,FB001280,1279,4,1,48.68,28.38,41.7,20.0,1.3,9,0,244,36,3,0,-1.0,-1.8369701987210297e-16,0.0,1.0,609,0.0,0.0,0.0,0.0,0.0,Fall,Bottoms,C,18.229860635084744
