product_id,total_revenue,mean_daily_revenue,std_daily_revenue,num_transactions,avg_price,original_price,avg_markdown,avg_unit_cost,avg_profit_margin,avg_stock_quantity,category,brand,units_sold,mean_daily_demand,std_daily_demand,annual_demand,holding_cost,eoq,safety_stock,reorder_point,annual_ordering_cost,annual_holding_cost,total_inventory_cost
FB000001,589.86,589.86,,1,196.62,196.01,0.0,141.71,27.93,37.0,Outerwear,Zara,3.0,3.0,0.8999999999999999,1.8814432989690721,2745.7983,0.09151012739886075,3.9166862760145835,24.916686276014584,125.63417612228763,10880.064694436462,11005.69887055875
FB000002,488.16,488.16,,1,122.04,119.64,0.0,84.45,30.8,2.0,Tops,Uniqlo,4.0,4.0,1.2,2.508591065292096,1879.4160000000002,0.1277207276899257,5.222248368019446,33.22224836801944,120.0201895760447,9934.79732840568,10054.817517981726
FB000003,536.64,536.64,,1,33.54,33.8,0.0,23.57,29.73,22.0,Accessories,Uniqlo,16.0,16.0,4.8,10.034364261168385,498.5721,0.49595109553029604,20.888993472077782,132.88899347207777,123.63368959792015,10538.303031858031,10661.936721455952
FB000004,1195.04,1195.04,,1,74.69,75.36,0.0,52.98,29.07,48.0,Shoes,Uniqlo,16.0,16.0,4.8,10.034364261168385,1085.61915,0.3360965790720489,20.888993472077782,132.88899347207777,182.43644124505272,22859.927778757683,23042.364220002735
FB000005,878.0,878.0,,1,109.75,105.02,0.0,80.37,26.77,10.0,Tops,Banana Republic,8.0,8.0,2.4,5.017182130584192,1469.00375,0.20430377427263174,10.444496736038891,66.44449673603889,150.06150527282477,15493.066377376717,15643.127882649542
FB000006,111.95,111.95,,1,22.39,35.03,35.4,16.4,26.75,38.0,Accessories,Zara,5.0,5.0,1.5,3.1357388316151202,299.46625,0.35772880234120197,6.527810460024307,41.527810460024305,53.56385147705549,2008.4227706513095,2061.986622128365
FB000007,422.28,422.28,,1,24.84,53.83,54.5,18.32,26.25,38.0,Bottoms,Zara,17.0,17.0,5.1,10.661512027491408,326.025,0.6321816088870214,22.19455556408264,141.19455556408263,103.05350451869555,7339.033482298739,7442.086986817434
FB000008,440.22,440.22,,1,73.37,91.55,22.1,51.07,30.39,47.0,Dresses,Mango,6.0,6.0,1.7999999999999998,3.7628865979381443,1114.85715,0.20309950360911738,7.833372552029167,49.83337255202917,113.21346688003766,8846.304865123502,8959.51833200354
FB000009,1677.92,1677.92,,1,209.74,227.73,12.8,148.74,29.08,14.0,Outerwear,Uniqlo,8.0,8.0,2.4,5.017182130584192,3049.6196,0.14179633535843036,10.444496736038891,66.44449673603889,216.2124417586211,32067.95440011885,32284.16684187747
FB000010,559.8974930619797,559.8974930619797,,1,85.50331174838114,248.41,10.9,61.106276595744674,28.53474560592044,37.0,Outerwear,H&M,6.54825505133233,6.54825505133233,1.9644765153996988,4.10672352875653,1219.907624601882,0.20283466025600538,8.549153563798837,54.38693892312514,123.71977428991667,10552.89739066047,10676.617164950387
