product_id,total_revenue,mean_daily_revenue,std_daily_revenue,num_transactions,avg_price,original_price,avg_markdown,avg_unit_cost,avg_profit_margin,avg_stock_quantity,category,brand,units_sold,mean_daily_demand,std_daily_demand,space_required,inventory_cost,contribution_margin,efficiency_score,selected
FB000001,589.86,589.86,,1,196.62,196.01,0.0,141.71,27.93,37.0,Outerwear,Zara,3.0,3.0,0.8999999999999999,3.7,5243.27,16474.7898,1842.1438467137855,0
FB000002,488.16,488.16,,1,122.04,119.64,0.0,84.45,30.8,2.0,Tops,Uniqlo,4.0,4.0,1.2,0.2,168.9,15035.328000000001,40757.19165085389,1
FB000003,536.64,536.64,,1,33.54,33.8,0.0,23.57,29.73,22.0,Accessories,Uniqlo,16.0,16.0,4.8,2.2,518.54,15954.3072,5868.704230947494,1
FB000004,1195.04,1195.04,,1,74.69,75.36,0.0,52.98,29.07,48.0,Shoes,Uniqlo,16.0,16.0,4.8,4.800000000000001,2543.04,34739.8128,4730.985096090992,1
FB000005,878.0,878.0,,1,109.75,105.02,0.0,80.37,26.77,10.0,Tops,Banana Republic,8.0,8.0,2.4,1.0,803.7,23504.06,13031.025115041304,1
FB000006,111.95,111.95,,1,22.39,35.03,35.4,16.4,26.75,38.0,Accessories,Zara,5.0,5.0,1.5,3.8000000000000003,623.1999999999999,2994.6625,677.0352911918972,0
FB000007,422.28,422.28,,1,24.84,53.83,54.5,18.32,26.25,38.0,Bottoms,Zara,17.0,17.0,5.1,3.8000000000000003,696.16,11084.849999999999,2465.403811252268,1
FB000008,440.22,440.22,,1,73.37,91.55,22.1,51.07,30.39,47.0,Dresses,Mango,6.0,6.0,1.7999999999999998,4.7,2400.29,13378.285800000001,1884.1886458158754,0
FB000009,1677.92,1677.92,,1,209.74,227.73,12.8,148.74,29.08,14.0,Outerwear,Uniqlo,8.0,8.0,2.4,1.4000000000000001,2082.36,48793.9136,14011.737327559471,1
FB000010,559.8974930619797,559.8974930619797,,1,85.50331174838114,248.41,10.9,61.106276595744674,28.53474560592044,37.0,Outerwear,H&M,6.54825505133233,6.54825505133233,1.9644765153996988,3.7,2260.932234042553,15976.532529916196,2680.2070385358697,1
FB000011,1021.77,1021.77,,1,113.53,116.84,0.0,83.97,26.04,3.0,Tops,Mango,9.0,9.0,2.6999999999999997,0.30000000000000004,251.91,26606.890799999997,48208.74925259552,1
FB000012,676.6,676.6,,1,135.32,146.98,0.0,93.52,30.89,2.0,Shoes,Uniqlo,5.0,5.0,1.5,0.2,187.04,20900.174000000003,54000.0361719719,1
FB000013,1060.36,1060.36,,1,37.87,37.51,0.0,26.42,30.24,43.0,Bottoms,Ann Taylor,28.0,28.0,8.4,4.3,1136.0600000000002,32065.286399999994,5898.626284478096,1
FB000014,233.3,233.3,,1,46.66,48.15,0.0,34.03,27.07,39.0,Dresses,Uniqlo,5.000000000000001,5.000000000000001,1.5000000000000002,3.9000000000000004,1327.17,6315.4310000000005,1208.193152317602,0
FB000015,811.4,811.4,,1,81.14,79.66,0.0,59.3,26.92,7.0,Tops,Mango,10.0,10.0,3.0,0.7000000000000001,415.09999999999997,21842.888,19588.27728454847,1
