product_id,total_revenue,mean_daily_revenue,std_daily_revenue,num_transactions,avg_price,original_price,avg_markdown,category,brand,units_sold,mean_daily_demand,std_daily_demand,annual_demand,holding_cost,eoq,safety_stock,reorder_point,annual_ordering_cost,annual_holding_cost,total_inventory_cost
FB000001,589.86,589.86,,1,196.62,196.01,0.0,Outerwear,Zara,3.0,3.0,0.8999999999999999,1.8814432989690721,49.155,1.9564183025228237,3.9166862760145835,24.916686276014584,48.083870830254696,240.60858472775155,288.69245555800626
FB000002,488.16,488.16,,1,122.04,119.64,0.0,Tops,Uniqlo,4.0,4.0,1.2,2.508591065292096,30.51,2.867436649291389,5.222248368019446,33.22224836801944,43.74274608494015,203.07354379321345,246.8162898781536
FB000003,536.64,536.64,,1,33.54,33.8,0.0,Accessories,Uniqlo,16.0,16.0,4.8,10.034364261168385,8.385,10.93939735834317,20.888993472077782,132.88899347207777,45.863423424853735,221.01763368822594,266.8810571130797
FB000004,1195.04,1195.04,,1,74.69,75.36,0.0,Shoes,Uniqlo,16.0,16.0,4.8,10.034364261168385,18.6725,7.330670465566361,20.888993472077782,132.88899347207777,68.44097213414393,458.4907027415163,526.9316748756603
FB000005,878.0,878.0,,1,109.75,105.02,0.0,Tops,Banana Republic,8.0,8.0,2.4,5.017182130584192,27.4375,4.276196607213175,10.444496736038891,66.44449673603889,58.66407220520576,345.23495140027285,403.8990236054786
FB000006,111.95,111.95,,1,22.39,35.03,35.4,Accessories,Zara,5.0,5.0,1.5,3.1357388316151202,5.5975,7.484674031752628,6.527810460024307,41.527810460024305,20.94773144636767,57.487150496353735,78.4348819427214
FB000007,422.28,422.28,,1,24.84,53.83,54.5,Bottoms,Zara,17.0,17.0,5.1,10.661512027491408,6.21,13.102784566864356,22.19455556408264,141.19455556408263,40.68414608011383,178.51233613306704,219.19648221318087
FB000008,440.22,440.22,,1,73.37,91.55,22.1,Dresses,Mango,6.0,6.0,1.7999999999999998,3.7628865979381443,18.3425,4.529302230962713,7.833372552029167,49.83337255202917,41.539363085716786,185.2229991213118,226.7623622070286
FB000009,1677.92,1677.92,,1,209.74,227.73,12.8,Outerwear,Uniqlo,8.0,8.0,2.4,5.017182130584192,52.435,3.0932804532096365,10.444496736038891,66.44449673603889,81.09808028202366,628.7552666362229,709.8533469182466
FB000010,559.8974930619797,559.8974930619797,,1,85.50331174838114,248.41,10.9,Outerwear,H&M,6.54825505133233,6.54825505133233,1.9644765153996988,4.10672352875653,21.375827937095284,4.383149267299351,8.549153563798837,54.38693892312514,46.8467222801981,229.591957867767,276.4386801479651
FB000011,1021.77,1021.77,,1,113.53,116.84,0.0,Tops,Mango,9.0,9.0,2.6999999999999997,5.644329896907216,28.3825,4.459445609751325,11.75005882804375,74.75005882804375,63.28510750938349,396.7811521963352,460.06625970571866
FB000012,676.6,676.6,,1,135.32,146.98,0.0,Shoes,Uniqlo,5.0,5.0,1.5,3.1357388316151202,33.83,3.0445207838793946,6.527810460024307,41.527810460024305,51.49806905931996,272.33389692194226,323.8319659812622
FB000013,1060.36,1060.36,,1,37.87,37.51,0.0,Bottoms,Ann Taylor,28.0,28.0,8.4,17.560137457044675,9.4675,13.619033829957354,36.55573857613612,232.55573857613612,64.46910139256062,410.5605563621294,475.02965775469
FB000014,233.3,233.3,,1,46.66,48.15,0.0,Dresses,Uniqlo,5.000000000000001,5.000000000000001,1.5000000000000002,3.1357388316151207,11.665,5.184747018191918,6.527810460024308,41.52781046002431,30.240036983604362,106.38694599978791,136.62698298339228
FB000015,811.4,811.4,,1,81.14,79.66,0.0,Tops,Mango,10.0,10.0,3.0,6.2714776632302405,20.285,5.560289882743011,13.055620920048614,83.05562092004861,56.39524013572099,321.22851049890716,377.62375063462815
FB000016,234.09,234.09,,1,78.03,67.57,0.0,Accessories,Mango,3.0,3.0,0.8999999999999999,1.8814432989690721,19.5075,3.10559457550486,3.9166862760145835,24.916686276014584,30.291193090830536,106.69595062018503,136.98714371101556
