product_id,total_revenue,mean_daily_revenue,std_daily_revenue,num_transactions,avg_price,original_price,avg_markdown,category,brand,units_sold,mean_daily_demand,std_daily_demand,space_required,inventory_cost,contribution_margin,efficiency_score,selected
FB000001,589.86,589.86,,1,196.62,196.01,0.0,Outerwear,Zara,3.0,3.0,0.8999999999999999,2.49816047538945,17695.8,206.451,10.223403192831023,0
FB000002,488.16,488.16,,1,122.04,119.64,0.0,Tops,Uniqlo,4.0,4.0,1.2,4.802857225639665,14644.800000000001,170.856,8.785428394672884,0
FB000003,536.64,536.64,,1,33.54,33.8,0.0,Accessories,Uniqlo,16.0,16.0,4.8,3.9279757672456204,16099.199999999999,187.82399999999998,9.378456662231203,0
FB000004,1195.04,1195.04,,1,74.69,75.36,0.0,Shoes,Uniqlo,16.0,16.0,4.8,3.3946339367881464,35851.2,418.26399999999995,10.6575388530075,1
FB000005,878.0,878.0,,1,109.75,105.02,0.0,Tops,Banana Republic,8.0,8.0,2.4,1.624074561769746,26340.0,307.29999999999995,10.98909957921926,1
FB000006,111.95,111.95,,1,22.39,35.03,35.4,Accessories,Zara,5.0,5.0,1.5,1.6239780813448106,3358.5,39.1825,7.864058679295651,0
FB000007,422.28,422.28,,1,24.84,53.83,54.5,Bottoms,Zara,17.0,17.0,5.1,1.2323344486727978,12668.4,147.79799999999997,10.632387845817117,1
FB000008,440.22,440.22,,1,73.37,91.55,22.1,Dresses,Mango,6.0,6.0,1.7999999999999998,4.46470458309974,13206.6,154.077,8.719050666318898,0
FB000009,1677.92,1677.92,,1,209.74,227.73,12.8,Outerwear,Uniqlo,8.0,8.0,2.4,3.404460046972835,50337.600000000006,587.2719999999999,10.927604924089238,1
FB000010,559.8974930619797,559.8974930619797,,1,85.50331174838114,248.41,10.9,Outerwear,H&M,6.54825505133233,6.54825505133233,1.9644765153996988,3.832290311184182,16796.92479185939,195.96412257169288,9.499349422304533,0
FB000011,1021.77,1021.77,,1,113.53,116.84,0.0,Tops,Mango,9.0,9.0,2.6999999999999997,1.0823379771832098,30653.1,357.61949999999996,11.268774682016906,1
FB000012,676.6,676.6,,1,135.32,146.98,0.0,Shoes,Uniqlo,5.0,5.0,1.5,4.879639408647977,20297.999999999996,236.81,9.405568018368749,0
