product_id,category,mean_demand,std_demand,optimal_order,expected_cost,cost_std,var_95,cvar_95
FB000815,Bottoms,195.00000000000003,58.50000000000001,251.11224489795921,227.5883086312914,156.41358157589437,483.1582787848916,726.5692551322936
FB000703,Accessories,263.0,78.89999999999999,338.67959183673474,169.99489932425448,105.68731758751824,342.68133952542195,507.15205173805253
FB001705,Bottoms,344.0,103.2,442.98775510204086,147.5878702229593,85.95198871806292,288.0280223504094,421.786595500357
FB001648,Shoes,111.99999999999999,33.599999999999994,144.2285714285714,144.80445764319262,83.50045610333093,281.23895942452083,411.18245500072305
FB001867,Tops,121.0,36.3,155.81836734693877,127.96011493175564,68.66454717951886,240.15367316675608,347.0095120333393
FB000239,Shoes,63.0,18.9,81.12857142857143,126.66396023741513,67.52293938123111,236.992203018374,342.0714706563763
FB001879,Dresses,60.0,18.0,77.26530612244898,80.22561488385088,26.621666233290245,123.72374577589129,165.1524101191833
FB001109,Tops,61.0,18.3,78.5530612244898,76.77226145623891,23.580073111404953,115.30062018688653,151.99595418897405
FB001697,Tops,36.0,10.799999999999999,46.35918367346939,75.51713456563428,22.474601170122575,112.23922156340113,147.21421899470536
FB001972,Dresses,16.0,4.8,20.604081632653063,75.11909289079307,22.124019960930227,111.26835220782412,145.69777480119677
FB001457,Accessories,63.0,18.9,81.12857142857143,75.0596205700268,22.07163881733255,111.12329238774355,145.47119939163323
FB001702,Tops,39.00000000000001,11.700000000000001,50.222448979591846,74.91008502219991,21.939933127984073,110.7585580141068,144.90150448891825
FB001308,Accessories,112.0,33.6,144.2285714285714,74.65842983130233,21.718284022624463,110.14474210372052,143.94275801304954
FB000026,Bottoms,101.0,30.299999999999997,130.06326530612245,74.59931740355128,21.666219860228566,110.00056010403378,143.71755371035164
FB000991,Accessories,81.00000000000001,24.300000000000004,104.30816326530615,74.45068158826248,21.53530662388459,109.63802028138161,143.151286574801
FB000106,Bottoms,26.0,7.8,33.481632653061226,73.61995853586444,20.803634764826516,107.61179135732134,139.98642915195637
FB001893,Outerwear,17.0,5.1,21.891836734693875,73.16343424604882,20.401544110341455,106.49827618774678,138.2471800927651
FB001889,Tops,82.0,24.599999999999998,105.59591836734694,72.79004524275067,20.072676113472497,105.5875375291472,136.82465671955967
FB000852,Outerwear,18.999999999999996,5.699999999999998,24.467346938775506,72.48836492273652,19.806966621062475,104.8517045840184,135.67532638935302
FB001404,Tops,135.0,40.5,173.8469387755102,71.49910899713095,18.935664542610887,102.43879577647563,131.9064963921499
FB000432,Shoes,18.0,5.3999999999999995,23.179591836734694,71.47805525574016,18.917121142305508,102.38744328343653,131.82628664050407
FB000129,Outerwear,22.0,6.6,28.33061224489796,69.85151877342112,17.4845246007641,98.4201340135176,125.62956916079169
FB001129,Bottoms,53.0,15.899999999999999,68.25102040816326,69.2650731051085,16.96800373242873,96.98972568177008,123.39535052306819
FB000817,Bottoms,36.0,10.799999999999999,46.35918367346939,69.1362314056572,16.854524462183825,96.67546598077861,122.90449426513318
FB002108,Accessories,28.0,8.4,36.05714285714285,69.11859664791106,16.838992383295572,96.6324527814809,122.83731002871201
FB000740,Tops,35.99999999999999,10.799999999999997,46.359183673469374,68.99047473449019,16.726147075454264,96.31994872127706,122.34919598450848
FB001314,Dresses,14.0,4.2,18.028571428571425,68.79991138292743,16.558305529100434,95.8551428227436,121.62319489909913
FB000068,Tops,27.000000000000004,8.100000000000001,34.769387755102045,68.6908637993136,16.46226022495461,95.58916324341283,121.20774951877983
FB001443,Outerwear,12.0,3.5999999999999996,15.453061224489794,68.61150738945604,16.392365869957395,95.3956038465731,120.90542045488414
FB000789,Dresses,40.0,12.0,51.51020408163265,68.53449028419743,16.324531892771898,95.20775028229328,120.61200358561575
