product_id,total_revenue,mean_daily_revenue,std_daily_revenue,num_transactions,avg_price,original_price,avg_markdown,category,brand,units_sold,mean_daily_demand,std_daily_demand,unit_cost,underage_cost,overage_cost,critical_ratio,optimal_quantity,expected_profit,achieved_service_level
FB000001,589.86,589.86,,1,196.62,196.01,0.0,Outerwear,Zara,3.0,3.0,0.8999999999999999,117.972,78.64800000000001,94.3776,0.4545454545454546,2.8972332351107144,174.22317644283254,0.4545454545454546
FB000002,488.16,488.16,,1,122.04,119.64,0.0,Tops,Uniqlo,4.0,4.0,1.2,73.224,48.816,58.57920000000001,0.4545454545454545,3.8629776468142856,144.1846977457924,0.4545454545454545
FB000003,536.64,536.64,,1,33.54,33.8,0.0,Accessories,Uniqlo,16.0,16.0,4.8,20.124,13.416,16.0992,0.45454545454545453,15.451910587257144,158.50392534886518,0.45454545454545453
FB000004,1195.04,1195.04,,1,74.69,75.36,0.0,Shoes,Uniqlo,16.0,16.0,4.8,44.814,29.875999999999998,35.8512,0.45454545454545453,15.451910587257144,352.9713233245898,0.45454545454545453
FB000005,878.0,878.0,,1,109.75,105.02,0.0,Tops,Banana Republic,8.0,8.0,2.4,65.85,43.900000000000006,52.68,0.45454545454545453,7.725955293628572,259.3292457817227,0.45454545454545453
FB000006,111.95,111.95,,1,22.39,35.03,35.4,Accessories,Zara,5.0,5.0,1.5,13.434,8.956000000000001,10.7472,0.45454545454545453,4.828722058517857,33.06595565519802,0.45454545454545453
FB000007,422.28,422.28,,1,24.84,53.83,54.5,Bottoms,Zara,17.0,17.0,5.1,14.904,9.936,11.923200000000001,0.45454545454545453,16.417654998960714,124.72614340399299,0.45454545454545453
FB000008,440.22,440.22,,1,73.37,91.55,22.1,Dresses,Mango,6.0,6.0,1.7999999999999998,44.022,29.348000000000006,35.2176,0.45454545454545464,5.79446647022143,130.02496648978357,0.45454545454545464
FB000009,1677.92,1677.92,,1,209.74,227.73,12.8,Outerwear,Uniqlo,8.0,8.0,2.4,125.844,83.89600000000002,100.6752,0.45454545454545453,7.725955293628572,495.59650123242386,0.45454545454545453
FB000010,559.8974930619797,559.8974930619797,,1,85.50331174838114,248.41,10.9,Outerwear,H&M,6.54825505133233,6.54825505133233,1.9644765153996988,51.30198704902868,34.201324699352455,41.04158963922295,0.45454545454545453,6.323940722233881,165.37334235858827,0.45454545454545453
